customerID,gender,InternetService,Dependents,DeviceProtection,Contract,OnlineBackup,MultipleLines,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,Sum of tenure,tenure (bins),Sum of TotalCharges,Sum of MonthlyCharges,Churn
0020-JDNXP,Female,DSL,Yes,Yes,One year,No,No phone service,Yes,No,Yes,Mailed check,No,No,Yes,Yes,Yes,34,30,1993.2,61.25,No
0021-IKXGC,Female,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,No,Electronic check,Yes,yes,No,No,No,1,0,72.1,72.1,No
0022-TCJCI,Male,DSL,No,Yes,One year,No,No,Yes,No,No,Credit card (automatic),Yes,yes,Yes,No,No,45,45,2791.5,62.7,Yes
0023-HGHWL,Male,DSL,No,No,Month-to-month,No,No phone service,No,Yes,No,Electronic check,No,yes,No,No,No,1,0,25.1,25.1,Yes
0023-UYUPN,Female,No,No,No internet service,One year,No internet service,Yes,No internet service,No,Yes,Electronic check,Yes,yes,No internet service,No internet service,No internet service,50,50,1306.3,25.2,No
0023-XUOPT,Female,Fiber optic,No,Yes,Month-to-month,Yes,Yes,No,No,Yes,Electronic check,Yes,No,No,Yes,No,13,10,1215.6,94.1,Yes
0027-KWYKW,Female,Fiber optic,Yes,No,Month-to-month,No,Yes,No,Yes,Yes,Electronic check,Yes,No,No,Yes,No,23,20,1849.95,83.75,No
0030-FNXPP,Female,No,No,No internet service,Month-to-month,No internet service,No,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,3,0,57.2,19.85,No
0031-PVLZI,Female,No,Yes,No internet service,Month-to-month,No internet service,No,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,4,0,76.35,20.35,Yes
0032-PGELS,Female,DSL,Yes,No,Month-to-month,No,No phone service,Yes,No,Yes,Bank transfer (automatic),No,No,No,No,No,1,0,30.5,30.5,Yes
0036-IHMOT,Female,Fiber optic,Yes,Yes,One year,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,55,55,5656.75,103.7,No
0040-HALCW,Male,No,Yes,No internet service,Two year,No internet service,No,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,54,50,1090.6,20.4,No
0042-JVWOJ,Male,No,No,No internet service,One year,No internet service,No,No internet service,Yes,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,26,25,471.85,19.6,No
0042-RLHYP,Female,No,Yes,No internet service,Two year,No internet service,No,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,69,65,1396.9,19.7,No
0048-LUMLS,Male,Fiber optic,Yes,No,One year,No,No,No,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,No,37,35,3247.55,91.2,No
0048-PIHNL,Female,No,No,No internet service,One year,No internet service,No,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,49,45,900.9,20.45,No
0052-DCKON,Male,Fiber optic,No,Yes,One year,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,66,65,7942.15,115.8,No
0052-YNYOT,Female,No,No,No internet service,One year,No internet service,No,No internet service,No,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,67,65,1343.4,20.55,No
0056-EPFBG,Male,DSL,Yes,Yes,Two year,No,No phone service,Yes,Yes,Yes,Credit card (automatic),No,No,No,No,Yes,20,20,825.4,39.4,No
0057-QBUQH,Female,No,Yes,No internet service,Two year,No internet service,Yes,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,43,40,1070.15,25.1,No
0058-EVZWM,Female,Fiber optic,No,No,Month-to-month,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,Yes,No,55,55,4959.6,89.8,No
0060-FUALY,Female,Fiber optic,No,No,Month-to-month,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,No,Yes,No,59,55,5597.65,94.75,No
0064-SUDOG,Female,No,Yes,No internet service,Two year,No internet service,No,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,12,10,224.5,20.3,No
0064-YIJGF,Male,Fiber optic,Yes,No,Month-to-month,No,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,No,27,25,1929,75.75,No
0067-DKWBL,Male,DSL,No,No,Month-to-month,No,No,Yes,Yes,No,Electronic check,Yes,yes,No,No,No,2,0,91.1,49.25,Yes
0068-FIGTF,Female,DSL,No,Yes,One year,Yes,No,No,No,No,Mailed check,Yes,No,Yes,Yes,Yes,27,25,2078.95,78.2,No
0071-NDAFP,Male,No,Yes,No internet service,Two year,No internet service,Yes,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,25,25,630.6,25.5,No
0074-HDKDG,Male,DSL,Yes,Yes,One year,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,No,25,25,1611,61.6,No
0076-LVEPS,Male,DSL,Yes,Yes,Month-to-month,Yes,No phone service,Yes,Yes,No,Mailed check,No,No,No,No,Yes,29,25,1242.45,45,No
0078-XZMHT,Male,DSL,No,Yes,Two year,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,72,70,6316.2,85.15,No
0080-EMYVY,Female,DSL,No,No,One year,Yes,No,No,No,No,Credit card (automatic),Yes,No,No,No,No,14,10,727.85,51.45,No
0080-OROZO,Female,Fiber optic,No,Yes,One year,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,35,35,3532,99.25,No
0082-LDZUE,Male,DSL,No,No,Month-to-month,No,No,No,Yes,No,Mailed check,Yes,No,No,No,No,1,0,44.3,44.3,No
0082-OQIQY,Male,Fiber optic,No,No,Month-to-month,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,29,25,2607.6,94.2,No
0083-PIVIK,Male,DSL,No,Yes,One year,Yes,Yes,Yes,No,No,Electronic check,Yes,No,No,Yes,Yes,64,60,5567.55,81.25,No
0089-IIQKO,Female,Fiber optic,Yes,No,Month-to-month,No,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,39,35,3767.4,99.95,No
0093-EXYQL,Female,Fiber optic,No,No,Month-to-month,No,No,No,Yes,No,Electronic check,Yes,yes,Yes,Yes,No,40,40,3673.6,91.55,No
0093-XWZFY,Male,Fiber optic,No,Yes,Month-to-month,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,No,Yes,Yes,No,40,40,4036.85,104.5,Yes
0094-OIFMO,Female,Fiber optic,No,No,Month-to-month,Yes,No,No,Yes,No,Electronic check,Yes,yes,Yes,Yes,No,11,10,1120.3,95,Yes
0096-BXERS,Female,DSL,No,No,Month-to-month,No,Yes,No,No,Yes,Electronic check,Yes,No,No,No,No,6,5,314.55,50.35,No
0096-FCPUF,Male,DSL,No,No,Month-to-month,No,Yes,Yes,Yes,No,Mailed check,Yes,No,Yes,No,No,30,30,1888.45,64.5,No
0098-BOWSO,Male,No,No,No internet service,Month-to-month,No internet service,No,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,27,25,529.8,19.4,No
0100-DUVFC,Male,Fiber optic,No,Yes,One year,Yes,Yes,No,Yes,Yes,Electronic check,Yes,yes,Yes,Yes,No,70,70,7308.95,104.8,No
0103-CSITQ,Female,Fiber optic,No,Yes,One year,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,57,55,6252.7,109.4,No
0104-PPXDV,Male,DSL,No,Yes,One year,No,No,No,No,Yes,Credit card (automatic),Yes,No,No,No,No,58,55,2878.55,50.3,No
0106-GHRQR,Male,DSL,No,Yes,Month-to-month,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,No,No,16,15,1212.1,71.4,No
0106-UGRDO,Female,Fiber optic,No,Yes,Two year,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,69,65,8182.85,116,No
0107-WESLM,Male,No,No,No internet service,Month-to-month,No internet service,No,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,1,0,19.85,19.85,Yes
0107-YHINA,Male,Fiber optic,Yes,Yes,Month-to-month,No,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,1,0,99.75,99.75,Yes
0111-KLBQG,Male,Fiber optic,Yes,No,Month-to-month,Yes,No,No,Yes,Yes,Mailed check,Yes,yes,Yes,Yes,No,32,30,2861.45,93.95,No
0112-QAWRZ,Male,Fiber optic,Yes,Yes,Month-to-month,No,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,Yes,No,16,15,1442.2,90.8,No
0112-QWPNC,Male,DSL,No,Yes,One year,No,Yes,Yes,No,Yes,Electronic check,Yes,No,Yes,Yes,Yes,49,45,4059.35,84.35,Yes
0114-IGABW,Female,DSL,No,Yes,Two year,Yes,No phone service,No,No,Yes,Bank transfer (automatic),No,No,Yes,Yes,Yes,71,70,4145.9,58.25,No
0114-PEGZZ,Female,Fiber optic,No,Yes,Month-to-month,Yes,Yes,No,No,No,Electronic check,Yes,No,Yes,Yes,No,33,30,3645.5,107.55,No
0114-RSRRW,Female,No,No,No internet service,Month-to-month,No internet service,No,No internet service,Yes,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,10,10,187.75,19.95,No
0115-TFERT,Male,Fiber optic,No,Yes,Month-to-month,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,21,20,2317.1,111.2,Yes
0117-LFRMW,Male,DSL,Yes,Yes,Month-to-month,Yes,No phone service,Yes,No,Yes,Bank transfer (automatic),No,No,No,No,No,37,35,1448.8,40.2,Yes
0118-JPNOY,Female,Fiber optic,No,No,Month-to-month,No,No,Yes,Yes,No,Credit card (automatic),Yes,yes,No,Yes,No,26,25,2193.65,85.8,No
0121-SNYRK,Male,DSL,No,No,One year,No,No phone service,Yes,Yes,No,Mailed check,No,No,No,No,Yes,50,50,1748.9,35.4,No
0122-OAHPZ,Female,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,No,Electronic check,Yes,No,No,No,No,7,5,511.25,73.85,Yes
0123-CRBRT,Female,DSL,Yes,Yes,Two year,Yes,Yes,Yes,No,Yes,Mailed check,Yes,No,Yes,Yes,Yes,61,60,5526.75,88.1,No
0125-LZQXK,Male,Fiber optic,No,Yes,Month-to-month,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,15,15,1553.95,101.35,Yes
0128-MKWSG,Female,DSL,Yes,No,Month-to-month,No,No phone service,Yes,No,No,Mailed check,No,No,Yes,No,Yes,26,25,1147,45.8,No
0129-KPTWJ,Male,Fiber optic,No,Yes,Month-to-month,No,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,72,70,6747.35,94.65,No
0129-QMPDR,Male,No,Yes,No internet service,One year,No internet service,No,No internet service,Yes,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,44,40,865.05,20.5,No
0130-SXOUN,Male,Fiber optic,No,No,Month-to-month,Yes,Yes,No,No,No,Credit card (automatic),Yes,No,Yes,No,No,66,65,5976.9,89.4,No
0133-BMFZO,Female,Fiber optic,No,No,Month-to-month,Yes,No,Yes,Yes,No,Electronic check,Yes,No,No,No,Yes,2,0,181.65,86.25,Yes
0134-XWXCE,Female,DSL,No,Yes,One year,No,No,No,No,No,Bank transfer (automatic),Yes,yes,Yes,Yes,Yes,44,40,3268.05,74.85,No
0135-NMXAP,Female,Fiber optic,No,No,Month-to-month,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,No,Yes,No,12,10,1052.4,89.75,Yes
0136-IFMYD,Male,Fiber optic,No,Yes,Two year,Yes,Yes,No,Yes,Yes,Electronic check,Yes,yes,Yes,Yes,Yes,69,65,7634.25,109.95,No
0137-OCGAB,Female,Fiber optic,No,No,Month-to-month,Yes,Yes,No,Yes,No,Mailed check,Yes,No,No,No,No,1,0,80.2,80.2,Yes
0137-UDEUO,Female,No,No,No internet service,Month-to-month,No internet service,No,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,3,0,63.75,19.85,Yes
0139-IVFJG,Female,Fiber optic,No,No,Month-to-month,Yes,No,Yes,No,Yes,Electronic check,Yes,No,No,Yes,No,2,0,190.5,90.35,No
0141-YEAYS,Female,Fiber optic,No,Yes,Month-to-month,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,yes,No,No,No,27,25,2401.05,86.45,No
0142-GVYSN,Male,No,No,No internet service,Month-to-month,No internet service,No,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,26,25,511.25,20.3,No
0147-ESWWR,Female,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,Yes,Electronic check,Yes,yes,Yes,Yes,Yes,39,35,3949.15,101.25,No
0148-DCDOS,Male,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,No,25,25,2362.1,94.7,Yes
0151-ONTOV,Female,Fiber optic,No,No,Month-to-month,No,No,No,No,No,Mailed check,Yes,No,No,No,No,1,0,70.9,70.9,Yes
0156-FVPTA,Male,DSL,No,No,Month-to-month,No,No,Yes,Yes,Yes,Electronic check,Yes,No,No,No,Yes,22,20,1152.7,54.2,Yes
0164-APGRB,Female,Fiber optic,No,Yes,Two year,Yes,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,72,70,8496.7,114.9,No
0164-XAIRP,Female,No,No,No internet service,Two year,No internet service,No,No internet service,Yes,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,24,20,470.2,19.55,No
0168-XZKBB,Female,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,Yes,Electronic check,Yes,No,No,Yes,No,19,15,1564.4,86.85,No
0174-QRVVY,Male,No,Yes,No internet service,Two year,No internet service,Yes,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,71,70,1847.55,25.35,No
0177-PXBAT,Male,Fiber optic,No,Yes,Month-to-month,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,yes,Yes,Yes,Yes,33,30,3694.7,109.9,No
0178-CIIKR,Female,No,No,No internet service,Month-to-month,No internet service,No,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,3,0,58,19.95,No
0178-SZBHO,Male,Fiber optic,Yes,No,Month-to-month,Yes,Yes,No,No,Yes,Electronic check,Yes,No,No,Yes,No,47,45,4017.45,87.2,No
0181-RITDD,Male,Fiber optic,Yes,Yes,Two year,Yes,No,Yes,No,Yes,Mailed check,Yes,No,Yes,Yes,Yes,62,60,6825.65,108.15,No
0186-CAERR,Male,Fiber optic,No,Yes,One year,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,71,70,8309.55,116.3,No
0187-QSXOE,Male,Fiber optic,No,No,Month-to-month,No,No,No,Yes,Yes,Electronic check,Yes,yes,Yes,Yes,No,7,5,605.45,89,No
0187-WZNAB,Female,Fiber optic,Yes,No,Month-to-month,No,No,Yes,No,Yes,Mailed check,Yes,No,No,No,No,27,25,1972.35,74.4,No
0188-GWFLE,Male,No,No,No internet service,Month-to-month,No internet service,No,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,2,0,33.7,20.05,No
0191-EQUUH,Female,DSL,Yes,No,Two year,No,No phone service,Yes,No,No,Bank transfer (automatic),No,No,No,No,Yes,25,25,844.45,35.05,No
0191-ZHSKZ,Male,DSL,No,No,Month-to-month,Yes,No,Yes,Yes,No,Electronic check,Yes,yes,Yes,Yes,No,30,30,2111.3,74.75,No
0193-ESZXP,Female,Fiber optic,No,No,One year,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,yes,Yes,Yes,Yes,58,55,6205.5,105.5,Yes
0195-IESCP,Male,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,No,No,10,10,855.3,85.25,Yes
0196-JTUQI,Female,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,No,Credit card (automatic),Yes,No,No,No,No,9,5,633.85,75.2,No
0196-VULGZ,Female,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,Yes,Electronic check,Yes,yes,Yes,No,No,6,5,474.9,84.35,Yes
0197-PNKNK,Female,Fiber optic,Yes,Yes,One year,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,No,No,No,69,65,5848.6,84.45,No
0201-MIBOL,Female,Fiber optic,No,No,Two year,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,yes,Yes,Yes,No,66,65,6471.85,102.4,No
0201-OAMXR,Female,Fiber optic,No,Yes,One year,Yes,Yes,Yes,No,No,Credit card (automatic),Yes,No,Yes,Yes,Yes,70,70,8127.6,115.55,Yes
0203-HHYIJ,Male,No,No,No internet service,One year,No internet service,Yes,No internet service,No,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,25,25,676.35,25.3,Yes
0206-OYVOC,Female,No,Yes,No internet service,Two year,No internet service,No,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,46,45,864.2,19.25,No
0206-TBWLC,Female,Fiber optic,No,Yes,One year,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,No,Yes,Yes,Yes,54,50,6049.5,114.65,No
0207-MDKNV,Female,Fiber optic,No,Yes,Month-to-month,No,No,Yes,No,No,Electronic check,Yes,No,Yes,Yes,Yes,15,15,1582.75,105.1,Yes
0208-BPQEJ,Female,No,Yes,No internet service,Month-to-month,No internet service,No,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,12,10,198.1,19.4,No
0212-ISBBF,Female,DSL,No,No,Month-to-month,Yes,No phone service,No,Yes,No,Electronic check,No,No,Yes,Yes,No,22,20,1098.85,50.35,No
0214-JHPFW,Female,DSL,No,Yes,Two year,Yes,No phone service,No,No,Yes,Bank transfer (automatic),No,No,Yes,Yes,Yes,70,70,4039.3,57.8,No
0215-BQKGS,Male,Fiber optic,No,Yes,Month-to-month,Yes,No,Yes,Yes,No,Credit card (automatic),Yes,No,No,No,No,30,30,2438.6,84.3,No
0218-QNVAS,Male,Fiber optic,Yes,No,One year,Yes,Yes,No,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,No,71,70,7113.75,100.55,No
0219-QAERP,Male,No,No,No internet service,One year,No internet service,No,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,30,30,576.65,19.8,No
0219-YTZUE,Male,Fiber optic,Yes,Yes,Month-to-month,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,No,4,0,371.9,84.8,Yes
0220-EBGCE,Male,Fiber optic,No,Yes,Month-to-month,No,No,No,Yes,No,Electronic check,Yes,No,Yes,No,No,2,0,167.3,85.85,Yes
0221-NAUXK,Male,No,Yes,No internet service,One year,No internet service,No,No internet service,Yes,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,10,10,219.5,19.95,No
0221-WMXNQ,Male,Fiber optic,No,No,Month-to-month,No,No,Yes,No,No,Electronic check,Yes,yes,No,No,No,4,0,273.4,75.35,No
0222-CNVPT,Male,DSL,No,No,Month-to-month,No,No phone service,Yes,Yes,No,Credit card (automatic),No,yes,Yes,Yes,No,52,50,2555.05,48.8,No
0224-HJAPT,Male,DSL,No,No,Month-to-month,No,Yes,No,No,No,Electronic check,Yes,No,No,No,No,5,5,223.15,47.15,Yes
0224-NIJLP,Male,No,Yes,No internet service,Two year,No internet service,No,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,8,5,165.5,20.15,No
0224-RLWWD,Female,DSL,No,No,Month-to-month,No,No,No,Yes,No,Electronic check,Yes,yes,No,No,No,2,0,89.3,44.3,No
0225-ZORZP,Male,Fiber optic,No,No,Month-to-month,Yes,No,No,No,No,Electronic check,Yes,No,Yes,No,No,3,0,235.05,84.3,No
0228-MAUWC,Male,DSL,No,Yes,Month-to-month,No,Yes,No,No,No,Electronic check,Yes,No,No,No,Yes,19,15,1144.6,59.55,No
0229-LFJAF,Male,DSL,No,Yes,Two year,Yes,Yes,Yes,No,No,Bank transfer (automatic),Yes,No,No,No,Yes,72,70,4908.25,69.65,No
0230-UBYPQ,Male,DSL,No,No,One year,No,No phone service,Yes,No,Yes,Bank transfer (automatic),No,yes,No,No,Yes,63,60,2298.9,36.1,No
0230-WEQUW,Male,DSL,No,Yes,Two year,Yes,No phone service,Yes,Yes,Yes,Bank transfer (automatic),No,No,No,Yes,Yes,66,65,3789.2,56.6,No
0231-LXVAP,Male,Fiber optic,No,No,Month-to-month,No,No,No,Yes,No,Electronic check,Yes,No,No,No,Yes,1,0,75.9,75.9,Yes
0233-FTHAV,Female,Fiber optic,No,Yes,One year,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,No,No,No,60,60,4765,79.2,No
0234-TEVTT,Female,DSL,Yes,Yes,One year,No,No phone service,Yes,No,Yes,Credit card (automatic),No,No,Yes,No,No,48,45,2196.3,45,No
0235-KGSLC,Female,Fiber optic,No,Yes,Month-to-month,No,No,No,Yes,No,Credit card (automatic),Yes,No,No,Yes,No,1,0,85.55,85.55,Yes
0236-HFWSV,Male,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,15,15,1444.65,93.35,Yes
0237-YFUTL,Female,Fiber optic,No,No,Month-to-month,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,50,50,5405.8,109.65,No
0238-WHBIQ,Male,DSL,Yes,Yes,Two year,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,72,70,6339.3,89.7,No
0239-OXEXL,Female,Fiber optic,No,No,Month-to-month,Yes,Yes,Yes,No,No,Mailed check,Yes,No,No,No,No,46,45,3847.6,84.25,No
0244-LGNFY,Female,DSL,Yes,Yes,Two year,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,72,70,6733,92.65,No
0247-SLUJI,Male,No,Yes,No internet service,Month-to-month,No internet service,No,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,1,0,19.7,19.7,No
0248-IPDFW,Female,DSL,No,No,Month-to-month,No,Yes,No,Yes,No,Electronic check,Yes,No,No,No,No,1,0,50.1,50.1,No
0248-PGHBZ,Female,Fiber optic,No,No,Two year,Yes,No,Yes,Yes,No,Bank transfer (automatic),Yes,yes,No,Yes,Yes,67,65,6140.85,92.45,No
0253-ZTEOB,Female,DSL,Yes,No,Two year,Yes,Yes,No,No,Yes,Electronic check,Yes,No,Yes,Yes,Yes,48,45,3870.3,79.65,No
0254-FNMCI,Female,Fiber optic,No,Yes,Two year,Yes,No,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,72,70,7624.2,109.9,No
0254-KCJGT,Male,DSL,No,Yes,One year,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,No,Yes,52,50,4354.45,81.4,No
0254-WWRKD,Female,DSL,Yes,No,One year,Yes,No,No,No,Yes,Credit card (automatic),Yes,No,No,No,No,67,65,3431.75,50.55,No
0256-LTHVJ,Female,Fiber optic,Yes,No,Month-to-month,No,No,No,Yes,Yes,Electronic check,Yes,No,Yes,No,No,28,25,2227.1,81.05,Yes
0257-KXZGU,Female,DSL,Yes,Yes,Month-to-month,Yes,Yes,No,No,Yes,Bank transfer (automatic),Yes,No,No,No,No,32,30,2045.55,62.45,No
0257-ZESQC,Female,Fiber optic,No,No,Month-to-month,No,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,yes,No,No,No,27,25,1929.35,75.2,Yes
0258-NOKBL,Male,Fiber optic,No,Yes,Month-to-month,Yes,No,No,No,No,Electronic check,Yes,No,Yes,No,No,3,0,268.45,90.4,No
0259-GBZSH,Male,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,No,Electronic check,Yes,No,No,Yes,No,2,0,181.5,85.65,Yes
0260-ZDLGK,Female,DSL,Yes,Yes,Month-to-month,No,No,No,Yes,No,Mailed check,Yes,No,Yes,Yes,Yes,9,5,651.4,72.9,Yes
0263-FJTQO,Male,DSL,Yes,No,Two year,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,Yes,Yes,50,50,3486.65,70.5,No
0264-CNITK,Female,No,Yes,No internet service,Two year,No internet service,No,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,71,70,1389.6,20.1,No
0265-EDXBD,Male,Fiber optic,No,No,Month-to-month,No,Yes,No,Yes,Yes,Electronic check,Yes,yes,No,No,No,32,30,2303.35,74.9,Yes
